,First_max,First_min,Second_max,Second_min,First_distance,Second_distance,Third_distance,mean,stdSpe,type
348,33.0817,-1.4078,-1.845,-2.6924,-21,-1,-22,14.7013,12.4904,1
349,33.4308,-7.0533,-5.6919,-9.2145,-23,-4,-27,8.3884,13.4373,1
350,32.9935,-11.0998,-9.6803,-13.1925,-33,-4,-37,6.4733,15.9148,1
351,30.7326,-3.0329,-2.4593,-8.5114,-25,-2,-27,10.9117,10.9422,1
352,31.4016,-0.49883,-0.98894,-8.5082,-22,-1,-23,14.3969,11.1262,1
353,32.287,-0.86199,-0.93779,-1.2484,-27,-1,-28,12.2822,10.0769,1
354,31.8025,-5.5277,-5.654,-7.9877,-26,-1,-27,10.8271,12.4982,1
355,32.1954,9.6642,9.4335,9.7602,-12,-2,-14,17.5538,8.0894,1
356,33.3691,-12.7046,-9.2105,-10.8785,-30,-5,-35,2.5346,14.6545,1
357,34.7662,0.07421,-0.75821,-7.1715,-25,-1,-26,16.2089,11.9978,1
358,32.5639,2.267,-1.0067,-11.4041,-19,-1,-20,15.165,10.3155,1
359,32.9753,32.9265,32.3949,-4.3294,-1,-1,-2,32.6947,0.27228,1
360,31.3609,-1.3668,-1.7161,-6.4069,-26,-1,-27,13.7119,11.809,1
361,33.396,-7.1672,-7.8614,-9.6289,-25,-3,-28,9.4899,14.4593,1
362,32.7089,-4.7872,-5.0025,-8.1766,-25,-1,-26,10.5049,12.6618,1
363,33.7547,-2.5398,-2.6638,-2.4665,-24,-1,-25,14.3295,12.4721,1
364,33.2952,-7.6559,-7.8597,-7.7057,-30,-2,-32,8.8662,13.2935,1
365,32.8541,32.6327,32.4544,32.1972,-1,-1,-2,32.5393,0.089438,1
366,31.9011,-7.4859,-6.0498,-9.0362,-28,-5,-33,6.3179,13.8377,1
367,32.5599,-2.9599,-2.9592,-2.1003,-29,-4,-33,12.1195,12.462,1
368,33.5148,-9.8672,-9.3358,-9.0963,-29,-5,-34,5.9984,14.3299,1
369,34.4303,-9.8856,-8.2786,-8.3396,-34,-5,-39,6.2485,14.8549,1
370,31.1098,30.2613,28.9012,-3.4382,-1,-1,-2,29.7891,0.76948,1
371,31.8924,31.6265,30.6538,-2.4602,-1,-1,-2,31.2225,0.50681,1
372,32.968,-6.3909,-6.7294,-6.0484,-26,-2,-28,11.2502,13.7385,1
373,33.3317,-10.5449,-10.6704,-10.0503,-33,-1,-34,6.1077,14.4059,1
374,33.1722,-8.504,-8.9266,-9.5455,-29,-1,-30,9.769,14.9449,1
375,34.6173,-14.525,-14.9447,-13.9202,-24,-2,-26,6.3707,16.4787,1
376,31.532,-17.0551,-17.8876,-18.891,-29,-1,-30,5.7315,16.3919,1
377,30.2685,3.8734,2.2291,-7.3488,-24,-1,-25,16.8313,10.1861,1
378,34.7875,-11.8916,-9.8783,-10.3607,-29,-6,-35,4.7689,15.9348,1
379,31.4124,-5.8704,-5.1141,-4.7567,-25,-3,-28,10.1038,12.4411,1
380,32.291,-7.0626,-6.8457,-9.1037,-31,-3,-34,7.6434,12.7626,1
381,34.2575,-14.363,-14.7622,-14.5142,-28,-2,-30,1.6347,15.4189,1
382,32.4859,-11.1899,-11.1406,-10.9215,-32,-2,-34,5.372,14.2967,1
383,33.0608,-7.2242,-5.973,-6.855,-22,-5,-27,8.7369,14.7538,1
384,34.2424,-13.8363,-12.4385,-15.5667,-31,-4,-35,3.6516,16.0196,1
385,32.0425,-10.4366,-11.676,-12.5516,-34,-1,-35,6.3777,13.5973,1
386,32.7611,-1.953,-2.3207,-1.4636,-29,-1,-30,13.2037,11.6188,1
387,32.9446,-11.2473,-9.4448,-9.1483,-22,-7,-29,3.7061,14.4238,1
388,33.8485,-6.1779,-5.8539,-11.6173,-24,-3,-27,10.4869,13.533,1
389,31.1978,30.6082,30.4554,-3.9229,-1,-1,-2,30.5339,0.076495,1
390,30.5823,27.3083,27.0455,-7.0697,-4,-1,-5,28.177,1.2415,1
